Attribute,Value
Number Critical Scenarios,586
Number Critical Scenarios (duplicate free),217
Number All Scenarios,1000
Number All Scenarios (duplicate free),362
Number Best Critical Scenarios,125
Number Best Critical Scenarios (duplicate free),38
Number Best Scenarios,240
Number Best Scenarios (duplicate free),67
Ratio Critical/All scenarios,0.59
Ratio Critical/All scenarios (duplicate free),0.60
Ratio Best Critical/Best Scenarios,0.52
Ratio Best Critical/Best Scenarios (duplicate free),0.57
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999941  0.797138]
Input value of critical (first of population of interest),[ 2.814725 -6.504801  1.88315 ]
