Attribute,Value
Number Critical Scenarios,593
Number Critical Scenarios (duplicate free),175
Number All Scenarios,1000
Number All Scenarios (duplicate free),283
Number Best Critical Scenarios,13
Number Best Critical Scenarios (duplicate free),13
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.59
Ratio Critical/All scenarios (duplicate free),0.62
Ratio Best Critical/Best Scenarios,0.65
Ratio Best Critical/Best Scenarios (duplicate free),0.65
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.9488464   0.75498223]
Input value of critical (first of population of interest),[ 7.79608069 -0.09993554  4.79152708]
