Attribute,Value
Number Critical Scenarios,313
Number Critical Scenarios (duplicate free),70
Number All Scenarios,1000
Number All Scenarios (duplicate free),231
Number Best Critical Scenarios,213
Number Best Critical Scenarios (duplicate free),27
Number Best Scenarios,584
Number Best Scenarios (duplicate free),69
Ratio Critical/All scenarios,0.31
Ratio Critical/All scenarios (duplicate free),0.30
Ratio Best Critical/Best Scenarios,0.36
Ratio Best Critical/Best Scenarios (duplicate free),0.39
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.988673  0.844183 -2.428451]
Input value of critical (first of population of interest),[-5.849861 -0.245656  2.602831]
