Attribute,Value
Number Critical Scenarios,425
Number Critical Scenarios (duplicate free),100
Number All Scenarios,1000
Number All Scenarios (duplicate free),197
Number Best Critical Scenarios,216
Number Best Critical Scenarios (duplicate free),31
Number Best Scenarios,457
Number Best Scenarios (duplicate free),47
Ratio Critical/All scenarios,0.42
Ratio Critical/All scenarios (duplicate free),0.51
Ratio Best Critical/Best Scenarios,0.47
Ratio Best Critical/Best Scenarios (duplicate free),0.66
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.964561  0.8254    0.      ]
Input value of critical (first of population of interest),[-0.720243 -4.122902  2.231645]
