Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input,Critical
0,5.466015,-3.616674,9.191922,-0.999994,0.765571,0.000000,1
1,0.897525,2.047755,0.083581,0.999978,0.702745,0.000000,0
2,-6.792149,-7.425081,0.976892,0.926711,0.695370,0.000000,0
3,2.150388,3.619826,20.834354,0.999992,0.747658,0.000000,0
4,-7.767595,-1.411026,13.484420,0.999998,0.780437,0.000000,0
5,-4.191017,-5.059490,0.011843,0.999934,0.694553,0.000000,0
6,5.487350,-1.352647,3.938164,1.000000,0.723512,0.000000,0
7,-4.528120,-5.130893,1.965130,0.999992,0.709771,0.000000,0
8,5.295010,7.720909,0.956301,0.997818,0.674664,0.000000,0
9,3.524631,-7.820625,4.744539,0.999978,0.748962,0.000000,0
10,3.705696,-6.625883,12.327668,0.999897,0.730963,0.000000,0
11,1.644408,-3.340904,20.267664,0.999940,0.682232,0.000000,0
12,-0.391750,0.472453,15.891055,0.999955,0.693971,0.000000,0
13,-4.234136,2.668451,11.567730,0.999931,0.708659,0.000000,0
14,-5.674775,-5.133715,6.667683,-0.090950,0.766559,0.000000,0
15,4.833859,-4.088926,13.628867,0.987851,0.708440,0.000000,0
16,4.758908,-2.744294,19.578911,0.999965,0.721019,0.000000,0
17,7.564018,2.333884,18.119440,1.000000,0.791475,0.000000,0
18,0.648062,-0.021506,5.227493,0.999786,0.704654,0.000000,0
19,-1.833611,-1.977491,2.338408,0.999984,0.708617,0.000000,0
20,-0.984092,-0.658164,4.003431,0.999990,0.734946,0.000000,0
21,4.945620,-4.201026,13.514345,0.982033,0.709633,0.000000,0
22,1.770886,-6.937182,2.739924,0.999849,0.680050,0.000000,0
23,-7.248661,5.116021,11.280745,0.999993,0.637494,0.000000,0
24,-7.438075,-2.639403,15.711486,0.861949,0.624090,0.000000,0
25,4.315984,5.049360,13.551852,-0.858999,0.647428,0.000000,1
26,-4.540897,1.563629,2.672184,-0.830048,0.728896,0.000000,1
27,-3.867090,0.585908,1.558041,0.999889,0.690649,0.000000,0
28,-2.456096,6.379325,17.182501,0.997717,0.670697,0.000000,0
29,4.463186,7.665356,8.366763,-0.846697,0.747511,0.000000,1
30,0.644566,-3.163154,14.500963,0.999719,0.687851,0.000000,0
31,-5.306157,7.594959,8.020258,-0.999998,0.779373,0.000000,1
32,-0.447189,-6.438604,1.176504,0.999987,0.722200,0.000000,0
33,-1.659083,0.338236,3.191919,0.999975,0.717940,0.000000,0
34,7.035021,-6.338417,3.921835,-0.922410,0.776499,0.000000,1
35,4.573513,-2.988552,19.474231,0.998908,0.756193,0.000000,0
36,-2.643634,-3.296078,10.464655,0.999424,0.759742,0.000000,0
37,-3.655592,-7.753820,6.573474,-0.700612,0.771977,0.000000,1
38,6.984347,-0.687094,16.771098,0.221505,0.734501,0.000000,0
39,5.310471,-2.302606,10.580006,-0.999998,0.651889,0.000000,1
40,-0.594950,0.644100,15.565562,0.999954,0.691540,0.000000,0
41,-0.418617,-4.694854,1.982941,0.708985,0.716565,0.000000,0
42,2.985373,-0.605487,5.896187,0.999930,0.680179,0.000000,0
43,3.940647,0.173776,14.752539,0.976701,0.665553,0.000000,0
44,4.413143,6.884108,13.051666,0.999999,0.619563,0.000000,0
45,-2.591218,2.599348,8.008820,0.848989,0.740507,0.000000,0
46,-2.145208,5.241068,5.920708,-0.999974,0.775571,0.000000,1
47,0.754256,-5.802640,7.246343,-0.791139,0.787311,0.000000,1
48,-5.717652,-0.539733,7.998494,0.999524,0.733590,0.000000,0
49,6.480258,-0.818406,15.526631,0.999826,0.711728,0.000000,0
50,-1.634657,-4.337909,9.507349,0.999974,0.770280,0.000000,0
51,-2.941167,-1.352359,15.131253,0.999993,0.736444,0.000000,0
52,2.672843,-1.227007,14.422972,0.999976,0.688973,0.000000,0
53,7.032036,-3.052810,10.541271,-0.999999,0.656747,0.000000,1
54,7.455414,3.472719,0.357998,0.990786,0.664437,0.000000,0
55,2.069508,1.509090,6.550174,0.999983,0.716403,0.000000,0
56,3.947485,2.207280,8.884102,-0.983827,0.773557,0.000000,1
57,-3.586535,6.085599,6.382063,-0.999952,0.783762,0.000000,1
58,0.225463,-2.220555,3.968333,0.999999,0.747562,0.000000,0
59,0.967593,7.231954,5.709047,-0.989928,0.768828,0.000000,1
60,-1.692529,0.842095,20.557453,0.999929,0.688549,0.000000,0
61,2.348845,-5.725383,10.187658,0.999996,0.746307,0.000000,0
62,4.980733,0.822051,15.841827,0.999914,0.713968,0.000000,0
63,5.057282,-1.570719,5.073089,0.999535,0.687993,0.000000,0
64,-2.044449,5.100544,5.193805,1.000000,0.734015,0.000000,0
65,-6.344454,7.311864,11.664586,0.844605,0.668075,0.000000,0
66,-2.391352,3.970942,14.805152,0.999463,0.713435,0.000000,0
67,-7.027647,0.073246,1.367316,0.980914,0.698330,0.000000,0
68,-3.781344,-6.951125,13.702819,0.998042,0.740833,0.000000,0
69,-5.872853,-2.504512,0.168312,0.999994,0.696363,0.000000,0
70,-3.894455,-5.238877,17.824148,0.973978,0.621412,0.000000,0
71,-3.481240,-0.711234,3.192773,0.999565,0.713448,0.000000,0
72,-1.947246,0.533006,16.254780,0.999890,0.686922,0.000000,0
73,0.394396,0.464312,8.241252,0.999989,0.708107,0.000000,0
74,-5.303392,-6.792089,5.374944,-0.842652,0.806782,0.000000,1
75,5.332811,-5.625808,8.158233,0.999902,0.706615,0.000000,0
76,7.468268,-0.881995,20.629869,0.999997,0.727696,0.000000,0
77,4.012216,7.706644,0.614534,0.990564,0.661146,0.000000,0
78,1.154119,-4.554967,13.396457,0.999886,0.731707,0.000000,0
79,-1.089303,3.032405,14.744640,0.999983,0.679511,0.000000,0
80,3.746461,5.891145,20.632773,0.999621,0.762850,0.000000,0
81,7.106961,3.154868,0.278776,0.991877,0.663591,0.000000,0
82,-2.906427,5.500431,13.008631,0.994842,0.688889,0.000000,0
83,-7.297310,-2.881450,16.075827,0.713344,0.611181,0.000000,0
84,4.915779,-7.191708,17.492197,0.548156,0.687222,0.000000,0
85,0.875613,0.328203,9.065379,0.999974,0.711950,0.000000,0
