Attribute,Value
Number Critical Scenarios,67
Number Critical Scenarios (duplicate free),67
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,2
Number Best Critical Scenarios (duplicate free),2
Number Best Scenarios,5
Number Best Scenarios (duplicate free),5
Ratio Critical/All scenarios,0.07
Ratio Critical/All scenarios (duplicate free),0.07
Ratio Best Critical/Best Scenarios,0.40
Ratio Best Critical/Best Scenarios (duplicate free),0.40
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999987  0.831181  0.      ]
Input value of critical (first of population of interest),[ 4.905765 -6.659008  1.617982]
