run,RS,NSGA-II-D,NSGA-II
1,0.1388863342383869,0.2597103221039969,0.4268679488917962
2,0.13875928099993054,0.23015546987817254,0.37104887557804567
3,0.144075193879058,0.2383972706577317,0.4663886883294999
4,0.13825256166252153,0.28435219222448016,0.49021648774049376
5,0.1413785709947548,0.2623216717587211,0.4882171062915707
6,0.15164172980387294,0.28818706626638646,0.48611656264485437
7,0.14458990894240614,0.35521776252296783,0.3016615744435543
8,0.13777905588380918,0.21712831946680475,0.37034410562140124
9,0.14308625507209166,0.3062564756842399,0.35999732892184017
10,0.13861094465000906,0.2405658497071041,0.5149234365977123
