Attribute,Value
Number Critical Scenarios,348
Number Critical Scenarios (duplicate free),73
Number All Scenarios,1000
Number All Scenarios (duplicate free),206
Number Best Critical Scenarios,105
Number Best Critical Scenarios (duplicate free),16
Number Best Scenarios,365
Number Best Scenarios (duplicate free),30
Ratio Critical/All scenarios,0.35
Ratio Critical/All scenarios (duplicate free),0.35
Ratio Best Critical/Best Scenarios,0.29
Ratio Best Critical/Best Scenarios (duplicate free),0.53
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-1.        0.83503  -5.276578]
Input value of critical (first of population of interest),[-5.58196   3.432488  2.590914]
