Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input,Critical
0,-0.637942,3.050501,9.561014,0.878963,0.700222,0.000000,0
1,5.842950,-5.828293,7.818301,0.999980,0.740817,0.000000,0
2,-7.985214,-4.333945,1.824691,0.999993,0.807240,0.000000,0
3,-2.629357,-6.127287,22.577965,0.999640,0.699440,0.000000,0
4,4.967688,2.486693,10.155994,0.581738,0.700621,0.000000,0
5,1.226911,0.706635,2.680976,0.988095,0.720135,0.000000,0
6,-7.237883,6.318046,8.633484,0.999649,0.717197,0.000000,0
7,5.478685,-6.867970,4.477217,0.999497,0.738743,0.000000,0
8,-4.898719,-1.740808,1.082877,-0.460090,0.764126,0.000000,0
9,3.042316,-6.529028,1.651578,0.447319,0.790814,0.000000,0
10,5.551217,-5.915714,8.701711,0.865282,0.740913,0.000000,0
11,5.534002,1.364148,15.109272,-0.575551,0.792115,0.000000,1
12,-5.602470,-3.846694,15.994222,-0.360574,0.694557,0.000000,0
13,6.676516,5.062238,10.801613,0.989222,0.731414,0.000000,0
14,-3.064426,6.180696,13.687750,-0.998753,0.797333,0.000000,1
15,7.553898,3.988535,18.388757,0.999878,0.756379,0.000000,0
16,-0.544067,1.534456,6.309216,0.999731,0.759919,0.000000,0
17,6.418609,5.911450,6.617866,-0.864917,0.771671,0.000000,1
18,-7.589748,-5.101859,17.888915,0.949955,0.737430,0.000000,0
19,3.237500,1.909389,5.219759,0.927217,0.762708,0.000000,0
20,0.769122,-5.931281,20.626412,0.999016,0.664936,0.000000,0
21,-6.692486,-7.042846,9.511742,0.999867,0.743014,0.000000,0
22,5.072944,2.089766,21.379310,0.994135,0.758361,0.000000,0
23,1.442111,2.826596,2.661476,0.986972,0.690622,0.000000,0
24,-3.524811,-6.302250,8.727107,0.183521,0.804423,0.000000,0
25,0.691609,3.650538,18.737651,0.999896,0.773725,0.000000,0
26,-1.453942,6.372848,0.731659,0.982237,0.723731,0.000000,0
27,-3.789472,2.724977,8.258988,0.947485,0.765390,0.000000,0
28,-7.605193,7.891288,16.477872,0.834655,0.781922,0.000000,0
29,6.100170,-4.682902,21.009065,0.939197,0.756889,0.000000,0
30,0.544509,-3.770612,9.801478,0.996828,0.781145,0.000000,0
31,3.697290,3.637727,2.250081,0.876986,0.689982,0.000000,0
32,5.794189,-2.975185,21.005290,0.958495,0.742663,0.000000,0
33,2.341572,-4.075538,19.508745,0.999023,0.779878,0.000000,0
34,7.758254,3.367646,22.986981,0.984296,0.723331,0.000000,0
35,-3.388182,-7.699759,11.302431,0.993960,0.783269,0.000000,0
36,-2.684118,3.345079,11.271009,0.996169,0.771563,0.000000,0
37,-5.954740,1.641880,14.487697,0.970402,0.740276,0.000000,0
38,-2.119693,-7.231138,7.858606,0.999884,0.757293,0.000000,0
39,-4.625745,-5.998707,9.319853,0.203454,0.809868,0.000000,0
40,-2.986838,4.060624,16.836654,0.983773,0.733923,0.000000,0
41,-4.504378,1.465914,13.956967,0.986375,0.751768,0.000000,0
42,-5.504203,3.868870,3.861854,-0.425671,0.817324,0.000000,0
43,-1.097484,-1.745021,6.983516,0.997857,0.761160,0.000000,0
44,3.551482,-4.992291,15.839175,0.953889,0.719457,0.000000,0
45,3.920695,-4.061941,10.241737,0.998696,0.782342,0.000000,0
46,-2.590128,2.193452,12.798454,0.999816,0.759979,0.000000,0
47,1.948481,-6.915597,14.595616,0.939343,0.740591,0.000000,0
48,-2.048234,2.314987,12.698714,0.999825,0.747394,0.000000,0
49,5.809992,1.465778,12.411771,0.999916,0.744395,0.000000,0
50,-7.081698,-4.610029,8.445410,0.082964,0.812398,0.000000,0
51,4.976867,-0.214490,6.986046,-0.999934,0.782202,0.000000,1
52,4.110114,-3.520115,15.139356,0.617519,0.767248,0.000000,0
53,5.843686,-2.412906,3.915854,0.998956,0.706400,0.000000,0
54,0.629753,-5.096771,4.830393,0.988809,0.785300,0.000000,0
55,0.289355,6.087495,5.681664,-1.000000,0.798856,0.000000,1
56,-3.884525,3.603374,11.779648,0.684973,0.736621,0.000000,0
57,2.875045,0.999572,19.409038,0.999953,0.723560,0.000000,0
58,-5.023637,-3.880449,2.629026,-0.947713,0.796288,0.000000,1
59,-4.680491,-0.945346,13.319296,0.999469,0.769737,0.000000,0
60,-6.950297,6.338351,15.558183,0.991898,0.782130,0.000000,0
61,6.793022,4.004917,17.678928,0.999968,0.747876,0.000000,0
62,-4.415629,-7.810148,4.356283,0.999546,0.754086,0.000000,0
63,1.505063,2.712839,13.941214,0.999916,0.777675,0.000000,0
64,-5.889356,-7.438351,3.175886,-0.941835,0.822820,0.000000,1
65,-0.455649,2.545875,20.225620,0.999871,0.725724,0.000000,0
66,-2.260077,4.275608,3.521923,0.031099,0.804863,0.000000,0
67,7.686262,1.714389,7.658562,0.956213,0.726606,0.000000,0
68,-5.564113,5.774791,21.779732,0.999912,0.713882,0.000000,0
69,-1.091149,-5.722952,3.883220,0.999907,0.751169,0.000000,0
70,-7.160111,7.649798,14.673160,0.952072,0.735209,0.000000,0
71,1.327187,-5.275148,13.490829,0.945064,0.732006,0.000000,0
72,7.001512,-7.956207,2.641278,0.999920,0.749804,0.000000,0
73,-2.186822,0.933985,13.072508,0.999491,0.751373,0.000000,0
74,-2.298313,0.838666,1.573512,0.999720,0.752617,0.000000,0
75,3.054590,-7.266765,14.504447,0.981410,0.757143,0.000000,0
76,-6.746417,6.745361,20.734043,-0.919446,0.827105,0.000000,1
77,7.858894,-5.467801,17.751639,0.871327,0.830299,0.000000,0
78,7.500217,0.145250,11.077149,-0.965645,0.731429,0.000000,1
79,0.269201,5.795335,14.888145,0.999999,0.751554,0.000000,0
80,-0.980001,-7.196656,16.873840,0.988096,0.714127,0.000000,0
81,-2.832465,-0.177168,15.072071,0.141020,0.708615,0.000000,0
82,-1.946345,0.435006,14.694502,0.935887,0.727588,0.000000,0
83,1.679197,1.415388,20.388487,0.996849,0.755257,0.000000,0
84,-6.433745,3.225076,8.382049,0.758547,0.768651,0.000000,0
85,-1.854087,-0.424415,1.919180,0.999960,0.762498,0.000000,0
86,1.741111,7.900517,5.219167,0.998141,0.717574,0.000000,0
87,2.232466,5.667363,1.978287,0.633390,0.693459,0.000000,0
88,6.108111,6.761558,20.970490,0.997126,0.739776,0.000000,0
89,6.603884,0.758076,11.697944,0.999981,0.745555,0.000000,0
90,5.254115,-3.658005,2.978394,0.987028,0.721127,0.000000,0
91,2.553538,-6.756413,2.273532,-0.487206,0.792588,0.000000,0
92,0.134931,2.376987,13.450989,0.999985,0.759210,0.000000,0
93,4.543544,4.100569,12.411935,0.995505,0.726443,0.000000,0
94,-5.047046,-1.360314,11.573168,0.970073,0.751305,0.000000,0
95,3.441520,-3.694739,18.344677,0.999895,0.798360,0.000000,0
96,-3.716116,7.591849,18.906871,0.998101,0.810277,0.000000,0
97,1.317024,-3.609756,21.716918,0.985988,0.689987,0.000000,0
98,-7.959481,-2.083819,13.277216,0.970308,0.739997,0.000000,0
99,5.682384,-1.502488,5.454534,-0.999599,0.820221,0.000000,1
