Attribute,Value
Number Critical Scenarios,969
Number Critical Scenarios (duplicate free),289
Number All Scenarios,1000
Number All Scenarios (duplicate free),312
Number Best Critical Scenarios,238
Number Best Critical Scenarios (duplicate free),31
Number Best Scenarios,238
Number Best Scenarios (duplicate free),31
Ratio Critical/All scenarios,0.97
Ratio Critical/All scenarios (duplicate free),0.93
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.982332  0.759641]
Input value of critical (first of population of interest),[ 0.393388 -1.566669  0.185485]
