Attribute,Value
Number Critical Scenarios,275
Number Critical Scenarios (duplicate free),78
Number All Scenarios,1000
Number All Scenarios (duplicate free),251
Number Best Critical Scenarios,173
Number Best Critical Scenarios (duplicate free),29
Number Best Scenarios,529
Number Best Scenarios (duplicate free),50
Ratio Critical/All scenarios,0.28
Ratio Critical/All scenarios (duplicate free),0.31
Ratio Best Critical/Best Scenarios,0.33
Ratio Best Critical/Best Scenarios (duplicate free),0.58
Iteration first critical found,4
Fitness value of critical (first of population of interest),[-0.941902  0.846056 -2.952894]
Input value of critical (first of population of interest),[ 0.765992  5.974546 16.008062]
