Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
101,0.626230,1.888065,2.423596,-0.195878,-0.782399,0
102,0.336271,1.420073,0.493529,-0.000356,-1.214134,0
103,0.667682,1.807592,2.862022,-0.012276,-1.956693,0
104,0.907460,1.626224,1.141174,-0.264332,-0.122255,0
105,0.672410,1.642768,2.588295,-0.072458,-1.961771,0
106,0.315284,1.243691,1.865396,-0.015581,-1.133000,0
107,0.924255,1.641532,4.488505,-0.000000,-2.409615,0
108,0.921753,1.670891,4.248799,-0.000000,-2.406936,0
109,0.716246,0.651158,4.730769,-0.000000,-1.939146,0
110,0.363363,1.593582,4.561837,-0.453124,-0.037497,0
111,0.656812,1.816480,4.334175,-0.000000,-1.939817,0
112,0.738197,0.509258,0.599997,-0.000000,-2.078580,0
113,0.663353,1.444922,3.883031,-0.000000,-1.942294,0
114,0.698105,1.126379,4.594519,-0.000000,-1.904809,0
115,0.246549,0.513637,0.356560,-0.324059,-0.027483,0
116,0.517744,1.504547,2.666457,-0.283759,-1.127448,0
117,0.278676,0.776859,0.822593,-0.113246,-1.007336,0
118,0.372056,1.180404,1.494892,-0.072192,-1.262866,0
119,0.196821,1.409603,1.134201,-0.000029,-0.921568,0
120,0.340524,0.673013,3.942037,-0.001548,-1.153749,0
121,0.348455,0.612591,2.435486,-0.582695,-1.173013,0
122,0.134981,0.961398,4.183191,-0.002711,-0.624653,0
123,0.440513,0.766784,3.865659,-0.000000,-1.401324,0
124,0.128792,1.647505,4.616968,-0.000304,-0.647504,0
125,0.592421,1.663800,2.831516,-0.973097,-1.784202,0
126,0.561820,1.265589,1.476175,-0.161982,-0.847573,0
127,0.631292,0.699847,4.546424,-0.000000,-1.806569,0
128,0.913253,1.702793,2.716454,-0.000000,-2.501741,0
129,0.278749,1.875129,1.482008,-0.000102,-1.090308,0
130,0.989254,1.210692,0.624009,-0.064609,-2.883805,0
131,0.686788,1.297976,3.541254,-0.000000,-2.002182,0
132,0.365814,0.567048,0.105300,-0.794620,-1.955683,0
133,0.553435,1.603516,0.212947,-0.005030,-1.714381,0
134,0.691977,1.905877,2.713117,-0.024970,-1.996185,0
135,0.322474,0.825083,1.305961,-0.359625,-0.033158,0
136,0.885256,0.900199,4.584246,-0.000000,-2.521379,0
137,0.587450,1.514175,4.728327,-0.000000,-1.775148,0
138,0.831402,0.973029,2.420867,-0.000000,-2.379004,0
139,0.490673,1.147485,3.915239,-0.000005,-1.548389,0
140,0.519558,1.665900,2.890216,-0.260310,-0.444494,0
141,0.776215,1.993391,1.512248,-0.116789,-0.073870,0
142,0.345724,0.968812,2.786756,-0.401077,-1.593051,0
143,0.269117,0.518755,3.166390,-0.395202,-0.980977,0
144,0.904516,1.623348,2.218128,-0.000000,-2.513918,0
145,0.595208,1.777922,1.494587,-0.363375,-1.801850,0
146,0.782610,0.599147,0.264161,-0.000000,-2.117419,0
147,0.224100,0.619257,0.848053,-0.201078,-0.841482,0
148,0.149513,0.780783,3.755049,-0.005844,-0.658707,0
149,0.620147,1.058353,4.588311,-0.000000,-1.790294,0
150,0.615243,1.044784,1.540738,-0.989118,-1.862367,0
151,0.490473,0.721404,3.302643,-0.000000,-1.545365,0
152,0.361144,0.734889,4.344567,-0.000006,-1.196090,0
153,0.410128,1.228893,1.287503,-0.081368,-1.375579,0
154,0.483081,1.707411,2.867160,-0.215088,-0.012576,0
155,0.357106,0.658091,4.811710,-0.000000,-1.165433,0
156,0.271764,0.854007,2.039387,-0.225754,-0.979857,0
157,0.227143,1.023750,2.480325,-0.010893,-0.907187,0
158,0.960148,0.666681,1.175750,-0.000000,-2.768546,0
159,0.638585,1.822623,0.504948,-0.020059,-1.893499,0
160,0.902835,1.293383,0.769192,-0.287869,-0.102807,0
161,0.117836,1.990624,3.342195,-0.000021,-0.697484,0
162,0.846128,0.781023,2.469058,-0.000000,-2.426324,0
163,0.574303,1.886588,3.071617,-0.983550,-1.762467,0
164,0.867840,1.911482,3.481117,-0.000000,-2.377341,0
165,0.914059,0.846101,3.576986,-0.000000,-2.479960,0
166,0.950386,0.753079,4.065672,-0.000000,-2.494790,0
167,0.417222,1.708991,4.372314,-0.983324,-1.374980,0
168,0.354176,1.788411,2.834883,-0.029599,-1.223378,0
169,0.744907,1.527348,4.376897,-0.000000,-1.980971,0
170,0.545925,1.194309,3.262472,-0.000145,-1.684469,0
171,0.900744,1.423039,3.682978,-0.000000,-2.395519,0
172,0.551982,1.004442,0.728995,-0.470978,-3.268243,0
173,0.277394,0.586202,0.951305,-0.332263,-0.164239,0
174,0.320927,1.023127,2.171078,-0.297725,-1.113052,0
175,0.943227,1.237404,1.930939,-0.000000,-2.646614,0
176,0.914883,1.122257,4.896769,-0.000000,-2.619646,0
177,0.629924,1.679381,2.862114,-0.158874,-1.875046,0
178,0.245955,1.247492,3.072017,-0.013669,-0.955145,0
179,0.280816,1.693575,4.067711,-0.044547,-1.023571,0
180,0.745902,0.582842,1.659984,-0.000000,-2.079948,0
181,0.400212,1.251340,0.947446,-0.021393,-1.352723,0
182,0.537771,1.349526,4.057980,-0.000000,-1.675984,0
183,0.497496,0.619099,3.317803,-0.000000,-1.565460,0
184,0.653570,0.938283,0.709100,-0.356301,-0.087004,0
185,0.356318,1.537364,1.332543,-0.002158,-1.256767,0
186,0.114605,1.877603,2.169958,-0.000004,-0.743131,0
187,0.884955,1.933214,3.220193,-0.000000,-2.510897,0
188,0.572503,1.372873,4.430104,-0.000000,-1.745306,0
189,0.355406,0.697050,3.573816,-0.009911,-1.186261,0
190,0.961980,0.624429,3.869470,-0.000000,-2.531788,0
191,0.528994,1.123151,0.235168,-0.296431,-1.649456,0
192,0.548538,0.773687,1.428942,-0.207249,-1.687327,0
193,0.124778,0.532069,4.530478,-0.000005,-0.614348,0
194,0.196054,0.914859,4.948645,-0.055899,-0.797218,0
195,0.819470,1.488470,2.899490,-0.000000,-2.340568,0
196,0.968959,0.504686,1.735625,-0.000000,-2.799811,0
197,0.708537,1.518586,0.892106,-0.109325,-0.138015,0
198,0.382717,0.553405,3.161076,-0.000000,-1.263138,0
199,0.595022,1.495270,0.995422,-0.162254,-0.197604,0
