Attribute,Value
Number Critical Scenarios,918
Number Critical Scenarios (duplicate free),270
Number All Scenarios,1000
Number All Scenarios (duplicate free),332
Number Best Critical Scenarios,20
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.92
Ratio Critical/All scenarios (duplicate free),0.81
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.99999952  0.82031707]
Input value of critical (first of population of interest),[6.29720694 1.12276664 9.02618238]
