Attribute,Value
Id,2a7b0f37-677c-4a02-938b-6470ce6a4947
Timestamp,06-12-2023_22:47:46
Problem,Demo_AVP_Metrics_Paper
Algorithm,NSGA-II
Search variables,"['Ego_HostVelGain', 'Other_Velocity_mps', 'Other_Time_s']"
Search space,"[(0.1, 1.0), (0.5, 2.0), (0.0, 5.0)]"
Fitness function,FitnessAdaptedDistanceSpeed
Critical function,CriticalAdasAdaptedDistanceVelocity_Small
Search time,0.00 sec
