Attribute,Value
Id,167b88c1-44b6-41c7-99df-2f4c42619afe
Timestamp,06-12-2023_22:35:55
Problem,Demo_AVP_NSGAII_Diverse
Algorithm,NSGA-II
Search variables,"['Ego_HostVelGain', 'Other_Velocity_mps', 'Other_Time_s']"
Search space,"[(0.1, 1.0), (0.5, 2.0), (0.0, 5.0)]"
Fitness function,FitnessAdaptedDistanceSpeedArchiveDistance
Critical function,CriticalAdasAdaptedDistanceVelocity_Medium
Search time,0.00 sec
