Attribute,Value
Number Critical Scenarios,194
Number Critical Scenarios (duplicate free),46
Number All Scenarios,1000
Number All Scenarios (duplicate free),203
Number Best Critical Scenarios,122
Number Best Critical Scenarios (duplicate free),21
Number Best Scenarios,603
Number Best Scenarios (duplicate free),59
Ratio Critical/All scenarios,0.19
Ratio Critical/All scenarios (duplicate free),0.23
Ratio Best Critical/Best Scenarios,0.20
Ratio Best Critical/Best Scenarios (duplicate free),0.36
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999926  0.844687 -5.561997]
Input value of critical (first of population of interest),[ 3.173175 -7.361723  1.981931]
