Attribute,Value
Number Critical Scenarios,576
Number Critical Scenarios (duplicate free),231
Number All Scenarios,1000
Number All Scenarios (duplicate free),383
Number Best Critical Scenarios,15
Number Best Critical Scenarios (duplicate free),15
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.58
Ratio Critical/All scenarios (duplicate free),0.60
Ratio Best Critical/Best Scenarios,0.75
Ratio Best Critical/Best Scenarios (duplicate free),0.75
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99997336  0.81057538]
Input value of critical (first of population of interest),[ 5.16269125 -5.90370217  1.83053766]
