Attribute,Value
Number Critical Scenarios,226
Number Critical Scenarios (duplicate free),226
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,8
Number Best Critical Scenarios (duplicate free),8
Number Best Scenarios,13
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.23
Ratio Critical/All scenarios (duplicate free),0.23
Ratio Best Critical/Best Scenarios,0.62
Ratio Best Critical/Best Scenarios (duplicate free),0.62
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999881  0.77926404  0.        ]
Input value of critical (first of population of interest),[ 6.43094556 -3.59145356  4.8897911 ]
