Attribute,Value
Number Critical Scenarios,10
Number Critical Scenarios (duplicate free),10
Number All Scenarios,2000
Number All Scenarios (duplicate free),2000
Number Best Critical Scenarios,1
Number Best Critical Scenarios (duplicate free),1
Number Best Scenarios,9
Number Best Scenarios (duplicate free),9
Ratio Critical/All scenarios,0.01
Ratio Critical/All scenarios (duplicate free),0.01
Ratio Best Critical/Best Scenarios,0.11
Ratio Best Critical/Best Scenarios (duplicate free),0.11
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.915731 -2.333982]
Input value of critical (first of population of interest),[0.840784 1.854028 1.621785]
