Attribute,Value
Number Critical Scenarios,419
Number Critical Scenarios (duplicate free),107
Number All Scenarios,1000
Number All Scenarios (duplicate free),317
Number Best Critical Scenarios,125
Number Best Critical Scenarios (duplicate free),18
Number Best Scenarios,295
Number Best Scenarios (duplicate free),62
Ratio Critical/All scenarios,0.42
Ratio Critical/All scenarios (duplicate free),0.34
Ratio Best Critical/Best Scenarios,0.42
Ratio Best Critical/Best Scenarios (duplicate free),0.29
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.99211   0.805754]
Input value of critical (first of population of interest),[-4.143099  3.257378  3.226763]
