Attribute,Value
Number Critical Scenarios,738
Number Critical Scenarios (duplicate free),142
Number All Scenarios,1000
Number All Scenarios (duplicate free),181
Number Best Critical Scenarios,424
Number Best Critical Scenarios (duplicate free),54
Number Best Scenarios,535
Number Best Scenarios (duplicate free),60
Ratio Critical/All scenarios,0.74
Ratio Critical/All scenarios (duplicate free),0.78
Ratio Best Critical/Best Scenarios,0.79
Ratio Best Critical/Best Scenarios (duplicate free),0.90
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999992  0.760211  0.      ]
Input value of critical (first of population of interest),[ 1.984077 -6.261445  2.438862]
