Attribute,Value
Number Critical Scenarios,408
Number Critical Scenarios (duplicate free),35
Number All Scenarios,2000
Number All Scenarios (duplicate free),241
Number Best Critical Scenarios,368
Number Best Critical Scenarios (duplicate free),25
Number Best Scenarios,1408
Number Best Scenarios (duplicate free),67
Ratio Critical/All scenarios,0.20
Ratio Critical/All scenarios (duplicate free),0.15
Ratio Best Critical/Best Scenarios,0.26
Ratio Best Critical/Best Scenarios (duplicate free),0.37
Iteration first critical found,7
Fitness value of critical (first of population of interest),[-0.972729 -2.72867  -6.779167]
Input value of critical (first of population of interest),[0.602657 0.840788 0.764385]
