Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive,Critical
1466,0.726233,1.419561,1.286045,-0.671146,-3.743212,-5.881192,0
1467,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928,1
1468,0.644127,0.877168,0.761806,-0.981062,-2.823205,-5.694179,1
1469,0.611324,1.583175,2.351032,-0.816601,-3.339285,-6.576264,0
1470,0.814703,1.402620,0.761396,-0.699593,-4.324776,-5.694209,0
1471,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329,1
1472,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220,1
1473,0.715459,1.416914,1.284121,-0.516454,-3.760648,-6.186147,0
1474,0.601247,0.852485,0.775488,-0.897912,-2.728926,-6.896531,0
1475,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618,1
1476,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147,1
1477,0.611324,1.548450,2.427753,-0.998074,-1.846648,-8.417904,0
1478,0.715224,1.416829,1.284121,-0.514251,-3.760319,-6.534329,0
1479,0.602036,0.840788,0.764385,-0.990427,-2.732331,-5.694209,1
1480,0.594262,1.460579,2.499595,-0.988039,-1.790725,-10.308850,0
1481,0.594631,1.518699,2.546067,-0.999989,-1.792185,-5.476608,0
1482,0.814703,1.403758,0.746438,-0.659337,-4.330735,-5.946311,0
1483,0.644301,0.888340,0.761806,-0.897620,-2.905997,-5.476608,0
1484,0.715224,1.416914,1.284121,-0.513422,-3.760319,-6.576264,0
1485,0.726233,1.419775,1.275636,-0.631937,-3.743212,-10.308850,0
1486,0.594642,0.852485,0.761806,-0.779178,-2.636991,-7.935787,0
1487,0.726233,1.417386,1.270064,-0.654912,-3.743212,-8.417904,0
1488,0.646974,1.703311,2.345459,-0.999260,-1.928939,-5.694179,0
1489,0.814703,1.402620,0.761396,-0.699593,-4.324776,-5.694209,0
1490,0.715459,1.418345,1.294484,-0.540555,-3.760648,-6.168354,0
1491,0.611206,1.550964,2.262923,-0.731144,-3.338248,-7.655255,0
1492,0.726691,1.429206,1.275636,-0.544877,-3.743266,-6.186147,0
1493,0.555084,1.460579,2.499595,-0.802112,-3.092711,-6.738295,0
1494,0.642897,1.703311,2.345459,-0.683051,-3.475726,-6.738295,0
1495,0.611324,1.583175,2.345421,-0.783969,-3.339285,-7.006220,0
1496,0.594631,1.519596,2.379994,-0.883334,-3.290711,-6.732961,0
1497,0.611806,1.550964,2.262923,-0.742044,-3.340834,-5.946311,0
1498,0.728820,1.419775,1.275636,-0.657392,-3.700822,-6.791926,0
1499,0.623544,1.296577,2.135342,-0.982383,-1.869421,-8.369867,0
1500,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354,1
1501,0.548937,0.997852,0.780005,-0.667476,-3.241599,-7.935787,0
1502,0.599138,0.852485,0.761806,-0.839545,-2.727468,-7.006220,0
1503,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917,1
1504,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255,1
1505,0.726233,1.419561,1.286045,-0.671146,-3.743212,-5.881192,0
1506,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928,1
1507,0.611324,1.583175,2.351032,-0.816601,-3.339285,-6.576264,0
1508,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329,1
1509,0.644127,0.877168,0.761806,-0.981062,-2.823205,-5.694179,1
1510,0.814703,1.402312,0.761396,-0.702489,-4.324776,-5.476608,0
1511,0.551541,0.998240,0.761806,-0.651284,-3.267877,-10.308850,0
1512,0.814703,1.403373,0.746438,-0.662627,-4.330735,-5.561069,0
1513,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220,1
1514,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147,1
1515,0.601247,0.852485,0.775488,-0.897912,-2.728926,-6.896531,0
1516,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618,1
1517,0.715459,1.416914,1.284121,-0.516454,-3.760648,-6.186147,0
