Attribute,Value
Number Critical Scenarios,866
Number Critical Scenarios (duplicate free),150
Number All Scenarios,1000
Number All Scenarios (duplicate free),182
Number Best Critical Scenarios,449
Number Best Critical Scenarios (duplicate free),46
Number Best Scenarios,546
Number Best Scenarios (duplicate free),48
Ratio Critical/All scenarios,0.87
Ratio Critical/All scenarios (duplicate free),0.82
Ratio Best Critical/Best Scenarios,0.82
Ratio Best Critical/Best Scenarios (duplicate free),0.96
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.98796   0.700467  0.      ]
Input value of critical (first of population of interest),[-7.696023 -6.437588 13.922435]
