Attribute,Value
Number Critical Scenarios,286
Number Critical Scenarios (duplicate free),73
Number All Scenarios,1000
Number All Scenarios (duplicate free),245
Number Best Critical Scenarios,154
Number Best Critical Scenarios (duplicate free),26
Number Best Scenarios,405
Number Best Scenarios (duplicate free),43
Ratio Critical/All scenarios,0.29
Ratio Critical/All scenarios (duplicate free),0.30
Ratio Best Critical/Best Scenarios,0.38
Ratio Best Critical/Best Scenarios (duplicate free),0.60
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.947201  0.821223 -4.050076]
Input value of critical (first of population of interest),[5.941433 0.067619 6.843383]
