Attribute,Value
Number Critical Scenarios,65
Number Critical Scenarios (duplicate free),65
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,8
Number Best Critical Scenarios (duplicate free),8
Number Best Scenarios,13
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.07
Ratio Critical/All scenarios (duplicate free),0.07
Ratio Best Critical/Best Scenarios,0.62
Ratio Best Critical/Best Scenarios (duplicate free),0.62
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99996692  0.76578193  0.        ]
Input value of critical (first of population of interest),[3.41751607 7.80494161 6.40344004]
