Attribute,Value
Number Critical Scenarios,337
Number Critical Scenarios (duplicate free),73
Number All Scenarios,1000
Number All Scenarios (duplicate free),229
Number Best Critical Scenarios,146
Number Best Critical Scenarios (duplicate free),15
Number Best Scenarios,536
Number Best Scenarios (duplicate free),47
Ratio Critical/All scenarios,0.34
Ratio Critical/All scenarios (duplicate free),0.32
Ratio Best Critical/Best Scenarios,0.27
Ratio Best Critical/Best Scenarios (duplicate free),0.32
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99619   0.752975  0.      ]
Input value of critical (first of population of interest),[ 3.160806 -7.790374  1.513926]
