Attribute,Value
Number Critical Scenarios,270
Number Critical Scenarios (duplicate free),64
Number All Scenarios,1000
Number All Scenarios (duplicate free),198
Number Best Critical Scenarios,120
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,624
Number Best Scenarios (duplicate free),55
Ratio Critical/All scenarios,0.27
Ratio Critical/All scenarios (duplicate free),0.32
Ratio Best Critical/Best Scenarios,0.19
Ratio Best Critical/Best Scenarios (duplicate free),0.36
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999992  0.840928  0.      ]
Input value of critical (first of population of interest),[-1.262913 -5.835502  3.675253]
