Attribute,Value
Number Critical Scenarios,460
Number Critical Scenarios (duplicate free),97
Number All Scenarios,1000
Number All Scenarios (duplicate free),193
Number Best Critical Scenarios,13
Number Best Critical Scenarios (duplicate free),13
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.46
Ratio Critical/All scenarios (duplicate free),0.50
Ratio Best Critical/Best Scenarios,0.65
Ratio Best Critical/Best Scenarios (duplicate free),0.65
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.          0.81725491  0.        ]
Input value of critical (first of population of interest),[-2.15792693  7.83393979  3.74940062]
