Attribute,Value
Number Critical Scenarios,518
Number Critical Scenarios (duplicate free),54
Number All Scenarios,2000
Number All Scenarios (duplicate free),270
Number Best Critical Scenarios,326
Number Best Critical Scenarios (duplicate free),17
Number Best Scenarios,1159
Number Best Scenarios (duplicate free),53
Ratio Critical/All scenarios,0.26
Ratio Critical/All scenarios (duplicate free),0.20
Ratio Best Critical/Best Scenarios,0.28
Ratio Best Critical/Best Scenarios (duplicate free),0.32
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.995916 -2.541162 -9.52094 ]
Input value of critical (first of population of interest),[0.489185 0.663967 0.05996 ]
