Attribute,Value
Number Critical Scenarios,90
Number Critical Scenarios (duplicate free),90
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,10
Number Best Scenarios (duplicate free),10
Ratio Critical/All scenarios,0.09
Ratio Critical/All scenarios (duplicate free),0.09
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.          0.81617343  0.        ]
Input value of critical (first of population of interest),[ 7.33186721 -0.88576884  6.67870264]
