n_evals,hv_all
40,0.0
80,0.17072085242736523
120,0.30447652548684234
160,0.3839070193633755
200,0.43209485312178075
240,0.4698762474763395
280,0.47730838901397676
320,0.4989588984205992
360,0.5043191040265957
400,0.5077783440166402
440,0.5083070177521212
480,0.5084933344446285
520,0.6136488417039632
560,0.613649090869035
600,0.6136527200971774
640,0.6136546879709868
680,0.6156835735306436
720,0.6167516913770994
760,0.6167516914843572
800,0.6167516914843572
840,0.6167672310926882
880,0.6171202994454085
920,0.6171202994454085
960,0.6172184758989222
1000,0.6179707371025945
1040,0.6191568461641458
1080,0.6191850989272009
1120,0.6215182431972853
1160,0.6215182431972853
1200,0.6216927957510496
1240,0.6216927957510496
1280,0.6222832123905705
1320,0.6227733891863407
1360,0.6228124740375403
1400,0.6228124740375403
1440,0.6228124740375403
1480,0.6228124740375403
1520,0.6230092758981126
1560,0.6230094955865928
1600,0.6234998550337156
1640,0.6266840652546835
1680,0.6266840652546835
1720,0.6267379281022025
1760,0.6267437086603781
1800,0.6267448143958803
1840,0.6277831722281509
1880,0.6277831722281509
1920,0.6277831722281509
1960,0.6277831722281509
2000,0.6277831722281509
