run,RS,NSGA-II-D,NSGA-II
1,0.10546374519543411,0.20493522944319661,0.42472861783725296
2,0.10878374388704974,0.21809010130458972,0.35859797239641167
3,0.12083832709981104,0.21097878607919235,0.4181965654029235
4,0.12044063334507026,0.3217606968650881,0.5009161683238725
5,0.10386562738345916,0.21723022399681532,0.2638396806532363
6,0.11798943123879868,0.20910727875738042,0.3595871875199519
7,0.12208388690864967,0.2660453569679578,0.3208917744755177
8,0.10641763929343494,0.20007669751032878,0.3602466641466237
9,0.1123390040706642,0.29263502928813057,0.2708172846049973
10,0.13051970178173602,0.1814343193683626,0.3320246548623423
