run,RS,NSGA-II-D,NSGA-II
1,0.08143084940421313,0.42761903293038467,0.3289987027226384
2,0.08061391139635944,0.19315087397328282,0.37505078321906743
3,0.09537775865729843,0.1625110327195853,0.7709962429722168
4,0.09344522365327922,0.1629716979366238,0.33820636631787726
5,0.08474278700987405,0.3885491620174983,0.6061210541962252
6,0.08598554391458517,0.17308566105041018,0.24371109825386542
7,0.10295884413853541,0.3680828865905642,0.5160415127160789
8,0.09801214981156384,0.1610627432889244,0.5756598065297028
9,0.0956057811009763,0.1580987748155764,0.7503477311051887
10,0.09334143305366771,0.13019985268866832,0.2045673974400407
