Attribute,Value
Number Critical Scenarios,98
Number Critical Scenarios (duplicate free),44
Number All Scenarios,1000
Number All Scenarios (duplicate free),251
Number Best Critical Scenarios,39
Number Best Critical Scenarios (duplicate free),17
Number Best Scenarios,529
Number Best Scenarios (duplicate free),50
Ratio Critical/All scenarios,0.10
Ratio Critical/All scenarios (duplicate free),0.18
Ratio Best Critical/Best Scenarios,0.07
Ratio Best Critical/Best Scenarios (duplicate free),0.34
Iteration first critical found,6
Fitness value of critical (first of population of interest),[-0.954317  0.847202 -0.575681]
Input value of critical (first of population of interest),[ 1.256106  5.974546 16.310049]
