Attribute,Value
Number Critical Scenarios,32
Number Critical Scenarios (duplicate free),32
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,4
Number Best Critical Scenarios (duplicate free),4
Number Best Scenarios,10
Number Best Scenarios (duplicate free),10
Ratio Critical/All scenarios,0.03
Ratio Critical/All scenarios (duplicate free),0.03
Ratio Best Critical/Best Scenarios,0.40
Ratio Best Critical/Best Scenarios (duplicate free),0.40
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999866  0.785475  0.      ]
Input value of critical (first of population of interest),[0.049653 6.377358 5.727339]
