Attribute,Value
Number Critical Scenarios,641
Number Critical Scenarios (duplicate free),168
Number All Scenarios,1000
Number All Scenarios (duplicate free),340
Number Best Critical Scenarios,12
Number Best Critical Scenarios (duplicate free),12
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.64
Ratio Critical/All scenarios (duplicate free),0.49
Ratio Best Critical/Best Scenarios,0.60
Ratio Best Critical/Best Scenarios (duplicate free),0.60
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.83810222  0.82334559]
Input value of critical (first of population of interest),[-1.32322383 -6.91772349  2.17494391]
