Attribute,Value
Number Critical Scenarios,445
Number Critical Scenarios (duplicate free),135
Number All Scenarios,1000
Number All Scenarios (duplicate free),324
Number Best Critical Scenarios,157
Number Best Critical Scenarios (duplicate free),42
Number Best Scenarios,301
Number Best Scenarios (duplicate free),70
Ratio Critical/All scenarios,0.45
Ratio Critical/All scenarios (duplicate free),0.42
Ratio Best Critical/Best Scenarios,0.52
Ratio Best Critical/Best Scenarios (duplicate free),0.60
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999099  0.850666]
Input value of critical (first of population of interest),[ 2.068561 -6.707453  1.861068]
