RS_n_evals,RS_cid,RS_cid_sigma,MOPSO_n_evals,MOPSO_cid,MOPSO_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma,NSGAII-DJ_A0.29_SEQ_n_evals,NSGAII-DJ_A0.29_SEQ_cid,NSGAII-DJ_A0.29_SEQ_cid_sigma
200.0,0.7347500447547582,0.26615271637696786,200.0,0.8308274435563602,0.23456050159148387,200.0,0.7523084502781086,0.22467703000850814,200.0,0.6537412217589376,0.20982164150933572
400.0,0.5684354289260903,0.28449601668175206,400.0,0.603783537612828,0.2823940802356124,400.0,0.6429670442814206,0.1879908337563893,400.0,0.5945130287119892,0.21166224033735798
600.0,0.42163604875375416,0.18669473863597724,600.0,0.5797383051078777,0.3018860019282373,600.0,0.5452865770648927,0.22187631638265026,600.0,0.5660881501724152,0.20257918036650044
800.0,0.3711606704577636,0.1265106348214547,800.0,0.51734124584805,0.2897066358016662,800.0,0.5004799423375447,0.22971550885936295,800.0,0.45066628859957547,0.12215824504923486
1000.0,0.36245180323041376,0.12924577089769368,1000.0,0.5415680105502672,0.34818990002926203,1000.0,0.4863602569331634,0.2380819769080349,1000.0,0.4302903047743861,0.12306135055023236
1200.0,0.3429806729568198,0.12097491718186273,1200.0,0.5001775575479311,0.33383704710011364,1200.0,0.4759481505092049,0.24325372034529544,1200.0,0.4214514701943356,0.11387412595762084
1400.0,0.3200331041060089,0.11209690041073023,1400.0,0.49782069651874694,0.33472671182476904,1400.0,0.46138886255863987,0.25462760760536146,1400.0,0.39222848993917414,0.10822599666063744
1600.0,0.285499056029464,0.08288676712253516,1600.0,0.49086244010692937,0.337979181667957,1600.0,0.44945377413081405,0.253330478573063,1600.0,0.3761847626518541,0.1160285278553579
1800.0,0.2763199659863199,0.07850573185194827,1800.0,0.49029784667097276,0.3382370723971637,1800.0,0.44820823133859344,0.2538693093642114,1800.0,0.36035045658446785,0.12563999333339398
2000.0,0.25991234962509385,0.06413577353514939,2000.0,0.4893874543479084,0.3386855470452202,2000.0,0.44505294225481923,0.2536523513040017,2000.0,0.355688687696163,0.1278755866584361
