Attribute,Value
Number Critical Scenarios,257
Number Critical Scenarios (duplicate free),121
Number All Scenarios,1000
Number All Scenarios (duplicate free),339
Number Best Critical Scenarios,69
Number Best Critical Scenarios (duplicate free),28
Number Best Scenarios,383
Number Best Scenarios (duplicate free),83
Ratio Critical/All scenarios,0.26
Ratio Critical/All scenarios (duplicate free),0.36
Ratio Best Critical/Best Scenarios,0.18
Ratio Best Critical/Best Scenarios (duplicate free),0.34
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.998101  0.793784]
Input value of critical (first of population of interest),[ 2.759258 -7.783705  1.57191 ]
