Attribute,Value
Number Critical Scenarios,568
Number Critical Scenarios (duplicate free),94
Number All Scenarios,1000
Number All Scenarios (duplicate free),181
Number Best Critical Scenarios,372
Number Best Critical Scenarios (duplicate free),37
Number Best Scenarios,535
Number Best Scenarios (duplicate free),60
Ratio Critical/All scenarios,0.57
Ratio Critical/All scenarios (duplicate free),0.52
Ratio Best Critical/Best Scenarios,0.70
Ratio Best Critical/Best Scenarios (duplicate free),0.62
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999992  0.760211  0.      ]
Input value of critical (first of population of interest),[ 1.984077 -6.261445  2.438862]
