Attribute,Value
Number Critical Scenarios,323
Number Critical Scenarios (duplicate free),111
Number All Scenarios,1000
Number All Scenarios (duplicate free),354
Number Best Critical Scenarios,117
Number Best Critical Scenarios (duplicate free),24
Number Best Scenarios,245
Number Best Scenarios (duplicate free),51
Ratio Critical/All scenarios,0.32
Ratio Critical/All scenarios (duplicate free),0.31
Ratio Best Critical/Best Scenarios,0.48
Ratio Best Critical/Best Scenarios (duplicate free),0.47
Iteration first critical found,6
Fitness value of critical (first of population of interest),[-0.997428  0.830671]
Input value of critical (first of population of interest),[-7.532586  4.450571  3.911039]
