Attribute,Value
Number Critical Scenarios,296
Number Critical Scenarios (duplicate free),296
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,12
Number Best Critical Scenarios (duplicate free),12
Number Best Scenarios,18
Number Best Scenarios (duplicate free),18
Ratio Critical/All scenarios,0.30
Ratio Critical/All scenarios (duplicate free),0.30
Ratio Best Critical/Best Scenarios,0.67
Ratio Best Critical/Best Scenarios (duplicate free),0.67
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999999  0.816635  0.      ]
Input value of critical (first of population of interest),[-0.770167 -5.93728   2.470031]
