Attribute,Value
Number Critical Scenarios,280
Number Critical Scenarios (duplicate free),96
Number All Scenarios,1000
Number All Scenarios (duplicate free),343
Number Best Critical Scenarios,116
Number Best Critical Scenarios (duplicate free),23
Number Best Scenarios,446
Number Best Scenarios (duplicate free),86
Ratio Critical/All scenarios,0.28
Ratio Critical/All scenarios (duplicate free),0.28
Ratio Best Critical/Best Scenarios,0.26
Ratio Best Critical/Best Scenarios (duplicate free),0.27
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.997328  0.756702]
Input value of critical (first of population of interest),[-7.4616    4.685976 14.034381]
