Attribute,Value
Number Critical Scenarios,71
Number Critical Scenarios (duplicate free),71
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,5
Number Best Critical Scenarios (duplicate free),5
Number Best Scenarios,14
Number Best Scenarios (duplicate free),14
Ratio Critical/All scenarios,0.07
Ratio Critical/All scenarios (duplicate free),0.07
Ratio Best Critical/Best Scenarios,0.36
Ratio Best Critical/Best Scenarios (duplicate free),0.36
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999999  0.832937  0.      ]
Input value of critical (first of population of interest),[-1.17306  -6.485354  6.703493]
