Attribute,Value
Number Critical Scenarios,686
Number Critical Scenarios (duplicate free),217
Number All Scenarios,1000
Number All Scenarios (duplicate free),324
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.69
Ratio Critical/All scenarios (duplicate free),0.67
Ratio Best Critical/Best Scenarios,0.50
Ratio Best Critical/Best Scenarios (duplicate free),0.50
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99991578  0.77747185]
Input value of critical (first of population of interest),[-1.83356799  7.62903162  3.75438827]
