Attribute,Value
Number Critical Scenarios,1141
Number Critical Scenarios (duplicate free),219
Number All Scenarios,2000
Number All Scenarios (duplicate free),444
Number Best Critical Scenarios,30
Number Best Critical Scenarios (duplicate free),6
Number Best Scenarios,67
Number Best Scenarios (duplicate free),10
Ratio Critical/All scenarios,0.57
Ratio Critical/All scenarios (duplicate free),0.49
Ratio Best Critical/Best Scenarios,0.45
Ratio Best Critical/Best Scenarios (duplicate free),0.60
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.972703 -1.706263]
Input value of critical (first of population of interest),[0.553988 1.699474 3.091768]
