Attribute,Value
Number Critical Scenarios,957
Number Critical Scenarios (duplicate free),261
Number All Scenarios,1000
Number All Scenarios (duplicate free),300
Number Best Critical Scenarios,297
Number Best Critical Scenarios (duplicate free),43
Number Best Scenarios,297
Number Best Scenarios (duplicate free),43
Ratio Critical/All scenarios,0.96
Ratio Critical/All scenarios (duplicate free),0.87
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.998039  0.751626]
Input value of critical (first of population of interest),[6.979213 4.458485 3.381042]
