Attribute,Value
Number Critical Scenarios,531
Number Critical Scenarios (duplicate free),99
Number All Scenarios,1000
Number All Scenarios (duplicate free),230
Number Best Critical Scenarios,9
Number Best Critical Scenarios (duplicate free),9
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.53
Ratio Critical/All scenarios (duplicate free),0.43
Ratio Best Critical/Best Scenarios,0.45
Ratio Best Critical/Best Scenarios (duplicate free),0.45
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.58345068  0.69557933  0.        ]
Input value of critical (first of population of interest),[-3.47031159  6.00894001  2.37543336]
