n_evals,cid
40,0.29898247843789866
80,0.2331584950960783
120,0.20394872411562395
160,0.2021799092078254
200,0.19873137894077683
240,0.19067883179226736
280,0.19065658027457905
320,0.19025980185451097
360,0.18951430411816433
400,0.18877052320416085
440,0.18853600299927248
480,0.18731650674184472
520,0.18674029651693913
560,0.18674029651693913
600,0.18674029651693913
640,0.1866530780483413
680,0.18660931993542326
720,0.18607359629961434
760,0.18607359629961434
800,0.1860720534781181
840,0.18568341728814863
880,0.18568341728814863
920,0.18566692731759232
960,0.18566692731759232
1000,0.1856635252184058
1040,0.1856635252184058
1080,0.18565766246530516
1120,0.18565766246530516
1160,0.18540708701743458
1200,0.18540708701743458
1240,0.18540708701743458
1280,0.1854004944603482
1320,0.1854004944603482
1360,0.1854004944603482
1400,0.1854004944603482
1440,0.1854004944603482
1480,0.1854004944603482
1520,0.18534617508865223
1560,0.18534617508865223
1600,0.18534617508865223
1640,0.18534617508865223
1680,0.18534617508865223
1720,0.1847967169771955
1760,0.17975215251191676
1800,0.17975215251191676
1840,0.17850022286301948
1880,0.17850022286301948
1920,0.17850022286301948
1960,0.17850022286301948
2000,0.1784709318531526
