Attribute,Value
Number Critical Scenarios,499
Number Critical Scenarios (duplicate free),94
Number All Scenarios,1000
Number All Scenarios (duplicate free),210
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.50
Ratio Critical/All scenarios (duplicate free),0.45
Ratio Best Critical/Best Scenarios,0.50
Ratio Best Critical/Best Scenarios (duplicate free),0.50
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.99854177  0.7506911  -2.47657838]
Input value of critical (first of population of interest),[-1.30044764  4.95625098  5.70113125]
