Attribute,Value
Number Critical Scenarios,497
Number Critical Scenarios (duplicate free),155
Number All Scenarios,1000
Number All Scenarios (duplicate free),333
Number Best Critical Scenarios,11
Number Best Critical Scenarios (duplicate free),11
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.50
Ratio Critical/All scenarios (duplicate free),0.47
Ratio Best Critical/Best Scenarios,0.55
Ratio Best Critical/Best Scenarios (duplicate free),0.55
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.79524684  0.85523059]
Input value of critical (first of population of interest),[-7.62823624 -3.20927215  2.57085489]
