Attribute,Value
Number Critical Scenarios,643
Number Critical Scenarios (duplicate free),125
Number All Scenarios,1000
Number All Scenarios (duplicate free),218
Number Best Critical Scenarios,373
Number Best Critical Scenarios (duplicate free),41
Number Best Scenarios,621
Number Best Scenarios (duplicate free),61
Ratio Critical/All scenarios,0.64
Ratio Critical/All scenarios (duplicate free),0.57
Ratio Best Critical/Best Scenarios,0.60
Ratio Best Critical/Best Scenarios (duplicate free),0.67
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999994  0.820165  0.      ]
Input value of critical (first of population of interest),[ 2.108612 -7.791145  1.5541  ]
