Attribute,Value
Number Critical Scenarios,967
Number Critical Scenarios (duplicate free),272
Number All Scenarios,1000
Number All Scenarios (duplicate free),301
Number Best Critical Scenarios,20
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.97
Ratio Critical/All scenarios (duplicate free),0.90
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.98023993  0.7460846 ]
Input value of critical (first of population of interest),[-7.77287704  3.28106498  1.32358502]
