Attribute,Value
Number Critical Scenarios,413
Number Critical Scenarios (duplicate free),109
Number All Scenarios,1000
Number All Scenarios (duplicate free),293
Number Best Critical Scenarios,137
Number Best Critical Scenarios (duplicate free),24
Number Best Scenarios,380
Number Best Scenarios (duplicate free),43
Ratio Critical/All scenarios,0.41
Ratio Critical/All scenarios (duplicate free),0.37
Ratio Best Critical/Best Scenarios,0.36
Ratio Best Critical/Best Scenarios (duplicate free),0.56
Iteration first critical found,5
Fitness value of critical (first of population of interest),[-0.999915  0.826797]
Input value of critical (first of population of interest),[1.975827 7.656327 7.951051]
